"The United States conducts its first underground n","1957-9-19","[html] The United States conducts its first <strong>underground </strong>nuclear test in the <em>Nevada </em>desert. [/html]"
"Germany, Japan, and Italy officially become the Ax","1940-9-27","Germany, Japan, and Italy officially become the Axis powers when these countries sign the Tripartite pact in Berlin. The pact's primary goal is to discourage the United States from entering the war."
"48 BC - Pompey the Great (Roman general and politi","1-9-28","48 BC - Pompey the Great (Roman general and politician) is assassinated on orders of his former ally after landing in Egypt to seek asylum. During his career Pompey led several victorious campaigns in Africa and Palestine, as well as defeating the gladiator army of Spartacus in Italy."
"Haratio Nelson, one of history's greatest naval co","1758-9-29","Haratio Nelson, one of history's greatest naval commanders, is born.  Nelson's greatest victory comes on October 21 1805, when he defeats a combined Franco-Spanish fleet near Trafalgar , Spain, denying Napoleon the ability to invade Britain. Wounded in the battle, he dies on HMS Victory . His last words were: Thank God, I have done my duty."
"The USS Nautilus (SSN-571), the world's first nucl","1954-9-30","The USS Nautilus (SSN-571), the world's first nuclear submarine, goes into service with the U.S. Navy. On one of its first big tests, the Nautilus covered 1381 miles in less than 90 hours . She remained submerged while en route, the longest submerged cruise to that date by a submarine, and at the highest sustained submerged speed ever recorded for a period of over one hour's duration. She was decommissioned on March 3, 1980 after a career spanning 25 years and almost half a million miles steamed."
"Napoleon is crowned emperor Napoleon I at Notre Da","1804-12-2","Napoleon is crowned emperor Napoleon I at Notre Dame Cathedral in Paris. He shortly begins the most successful campaigns of his career into Eastern Europe."
"General George S. Patton's troops arrive at the Si","1944-12-3","General George S. Patton's troops arrive at the Siegfried line (lines of defensive forts and tank defenses built by the Germans) situated on the border between France and Germany. He was planning to drive through to Czechoslovakia, but was interrupted a few weeks later when the German army launched their offensive in the Ardennes."
"Thirteenth Amendment to the United States Constitu","1865-12-6","Thirteenth Amendment to the United States Constitution is ratified: Neither slavery nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction."
"John Winston Ono Lennon was assassinated by a ment","1980-12-8","John Winston Ono Lennon was assassinated by a mentally deranged fan while returning home from a recording session."
"In North Africa British cryptographers were able t","1940-12-9","In North Africa British cryptographers were able to break the Italian military code, enabling British commanders to anticipate Italian troop movements, size, and points of vulnerability.  British command decided to make a first strike: 30,000 British soldiers launched an offensive against 80,000 Italians in North Africa, but the British brought with them 275 tanks against the Italians' 120. The British 7th Armored Division swept along the western coast to cut off any hope of an Italian retreat. Within three days, 40,000 Italian prisoners were taken. The end of the Italian occupation of North Africa had begun."
